iso1,iso2,group,community
-25.66,7.56,Burned,P.man
-25.35,2.79,Unburned,P.man
-25.26,4.31,Burned,P.man
-25.17,6.31,Burned,P.man
-23.23,5.41,Unburned,P.leu
-25.04,3.31,Unburned,P.man
-24.99,5.69,Burned,P.man
-24.97,5.53,Unburned,P.man
-24.94,4.24,Unburned,P.man
-24.81,11.02,Burned,P.man
-24.93,8.12,Unburned,M.och
-25.95,4.26,Unburned,M.och
-24.3,5.59,Unburned,P.leu
-23.73,3.37,Unburned,P.leu
-24.76,5.07,Burned,P.man
-24.73,5.55,Unburned,P.man
-24.71,3.32,Burned,P.man
-24.71,4.09,Burned,P.man
-20.34,3.44,Unburned,P.leu
-23.83,3.63,Unburned,P.leu
-15.43,7.45,Unburned,P.leu
-18.56,5.54,Unburned,M.och
-24.68,4.67,Unburned,P.man
-24.64,5.82,Unburned,P.man
-24.58,2.62,Unburned,P.man
-22.72,3.01,Unburned,M.och
-24.58,2.45,Burned,P.man
-18.38,5.91,Unburned,P.leu
-24.47,5.7,Burned,P.man
-11.52,8.18,Unburned,P.leu
-26.03,3.51,Unburned,M.och
-24.47,3.6,Unburned,P.man
-26.55,4.09,Unburned,M.och
-26.43,3.39,Unburned,M.och
-24.4,3.15,Burned,P.man
-13.85,4.92,Unburned,P.leu
-24.38,5.66,Unburned,P.man
-26.72,3.46,Unburned,M.och
-24.35,11.05,Burned,P.man
-14.8,3.85,Unburned,P.leu
-13.62,6.66,Unburned,P.leu
-17.28,9.61,Unburned,P.leu
-22.33,4.87,Burned,M.och
-24.31,4.56,Burned,P.man
-24.31,4.15,Unburned,P.man
-12.4,8.58,Unburned,P.leu
-24.27,4.62,Unburned,P.man
-24.22,5.48,Unburned,P.man
-24.2,2.46,Burned,P.man
-24.14,6.34,Burned,P.man
-24.13,8.51,Burned,P.man
-24.11,6.27,Burned,P.man
-24.11,6.46,Burned,P.man
-24.09,4.84,Unburned,P.man
-22.87,5.42,Burned,P.leu
-29.03,6.29,Burned,M.och
-24.04,3.67,Burned,P.man
-24.01,6.28,Burned,P.man
-26.37,7.72,Unburned,P.leu
-23.98,4.72,Burned,P.man
-23.95,3.38,Burned,P.man
-16.43,8.08,Unburned,P.leu
-23.89,4.91,Unburned,P.man
-16.45,3.21,Unburned,P.leu
-23.84,4.32,Unburned,P.man
-26.42,5.67,Unburned,M.och
-23.73,5.63,Burned,P.man
-23.71,5.18,Unburned,P.man
-23.7,5.66,Burned,P.man
-24.38,4.12,Unburned,P.leu
-23.66,4.75,Unburned,P.man
-23.64,2.91,Burned,P.man
-23.51,4,Unburned,P.man
-24.16,5.26,Unburned,P.leu
-23.49,3.74,Unburned,P.man
-23.46,4.26,Unburned,P.man
-23.44,5.36,Unburned,P.man
-23.4,3.51,Unburned,P.man
-23.37,3.13,Unburned,P.man
-23.37,3.1,Unburned,P.man
-23.28,5.29,Unburned,P.man
-23.24,6.51,Burned,P.man
-23.2,3.93,Burned,P.man
-22.93,4.19,Burned,P.leu
-23.19,4.17,Unburned,P.man
-23.09,6.1,Burned,P.man
-23.03,3.72,Burned,P.man
-23.02,6.04,Unburned,P.man
-21.18,5.43,Burned,P.leu
-22.96,5.07,Unburned,P.man
-22.94,6.03,Unburned,P.man
-22.92,3.54,Burned,P.man
-22.92,2.75,Unburned,P.man
-22.86,6.47,Burned,P.man
-22.82,2.27,Burned,P.man
-22.81,5.47,Burned,P.man
-22.74,4.19,Unburned,P.man
-23.78,4.68,Burned,P.leu
-22.57,4.9,Burned,P.man
-23.35,3.82,Burned,P.leu
-22.55,5.64,Burned,P.man
-22.46,6.01,Unburned,P.man
-22.39,4.05,Burned,P.man
-22.37,5.65,Burned,P.man
-22.36,4.15,Burned,P.man
-22.31,3.84,Unburned,P.man
-25.08,2.74,Burned,P.leu
-15.7,5.13,Unburned,P.leu
-22.31,2.92,Burned,P.man
-22.3,5.64,Unburned,P.man
-22.2,3.33,Burned,P.man
-22.18,3.82,Unburned,P.man
-18.44,6.49,Unburned,P.leu
-22.05,4.43,Burned,P.man
-21.4,2.25,Burned,P.leu
-17.74,7.75,Unburned,P.leu
-23.96,4.87,Burned,P.leu
-22.02,5.05,Burned,P.man
-21.87,4.56,Unburned,P.man
-21.72,5.33,Unburned,P.man
-21.61,6.03,Burned,P.man
-21.58,7.6,Burned,P.man
-17.25,2.72,Unburned,P.leu
-21.57,6.32,Burned,P.man
-21.55,4.59,Unburned,P.man
-23.26,3.92,Burned,P.leu
-25.34,3,Unburned,M.och
-21.26,2.76,Unburned,P.leu
-21.48,3.98,Burned,P.man
-23.95,2.37,Burned,P.leu
-23.46,4.49,Burned,P.leu
-20.28,6.71,Unburned,P.leu
-21.39,5.84,Burned,P.man
-18.34,3.4,Unburned,P.leu
-10.29,7.37,Unburned,P.leu
-21.24,5.91,Burned,P.man
-21.13,2.88,Burned,P.man
-21.08,4.7,Unburned,P.man
-21.05,5.45,Unburned,P.man
-21.05,6.12,Burned,P.man
-21.04,7.22,Burned,P.man
-20.99,4.2,Burned,P.man
-20.94,6.17,Burned,P.man
-27.23,3.43,Unburned,M.och
-20.94,5.75,Unburned,P.man
-20.88,5.41,Unburned,P.man
-20.83,6.18,Burned,P.man
-20.79,4.13,Unburned,P.man
-25.24,4.26,Burned,M.och
-20.79,5.8,Burned,P.man
-20.78,5.38,Burned,P.man
-20.7,5.88,Unburned,P.man
-26,3.5,Unburned,M.och
-20.68,3.19,Unburned,P.man
-20.63,3.07,Unburned,P.man
-20.38,6.24,Burned,P.man
-20.32,4.34,Burned,P.man
-25.12,5.56,Burned,M.och
-20.31,4.16,Burned,P.man
-20.28,5.78,Unburned,P.man
-20.23,7.51,Unburned,P.man
-20.06,5.01,Burned,P.man
-19.94,5.36,Burned,P.man
-21.43,4.47,Unburned,P.leu
-22.76,7.67,Unburned,P.leu
-19.86,3.91,Burned,P.man
-26.43,4.25,Burned,M.och
-19.85,4.18,Unburned,P.man
-24.93,2.21,Burned,P.leu
-19.8,4.4,Unburned,P.man
-22.87,6.49,Unburned,P.leu
-24.32,4.11,Burned,P.leu
-24.81,3.95,Burned,P.leu
-21.74,1.96,Burned,P.leu
-22.26,5.29,Burned,P.leu
-19.76,6.67,Unburned,P.man
-22.37,4.74,Unburned,P.leu
-19.74,6.28,Burned,P.man
-22.36,2.47,Unburned,M.och
-19.73,6.85,Unburned,P.man
-19.71,1.51,Burned,P.man
-23.55,5.66,Burned,P.leu
-19.65,3.61,Burned,P.man
-19.55,6.37,Burned,P.man
-24.77,4.58,Unburned,M.och
-19.51,6.74,Burned,P.man
-25.24,3.61,Burned,P.leu
-19.5,6.09,Burned,P.man
-19.43,6.93,Burned,P.man
-19.36,5.13,Unburned,P.man
-19.15,4.35,Unburned,P.man
-21.94,6.86,Unburned,P.leu
-19.77,5.51,Burned,P.leu
-19.04,8.07,Unburned,P.man
-18.89,4.1,Burned,P.man
-18.8,4.35,Burned,P.man
-26.02,3.97,Burned,M.och
-24.9,4.19,Burned,M.och
-19.79,5.3,Burned,P.leu
-24.95,3.43,Unburned,P.leu
-27.73,3.42,Unburned,M.och
-10.76,6.12,Burned,P.leu
-18.77,3.97,Burned,P.man
-18.77,5.59,Burned,P.man
-18.69,7.54,Burned,P.man
-18.56,5.69,Burned,P.man
-24.02,7.69,Unburned,P.leu
-18.53,5.57,Burned,P.man
-18.29,5.39,Burned,P.man
-18.07,6.29,Unburned,P.man
-22.89,6.4,Burned,P.leu
-15.91,5.43,Unburned,P.leu
-18.07,5.54,Burned,P.man
-17.9,7.83,Burned,P.man
-17.68,6.17,Burned,P.man
-23.94,4.61,Burned,P.leu
-17.68,5.68,Burned,P.man
-17.64,4.15,Unburned,P.man
-24.19,3.05,Burned,P.leu
-17.36,5.65,Unburned,P.man
-23.96,4.56,Unburned,P.leu
-17.26,6.63,Burned,P.man
-24.03,3.38,Unburned,P.leu
-24.75,5.2,Burned,M.och
-22.13,8.75,Unburned,P.leu
-17.19,5.27,Unburned,P.man
-17.17,5.58,Burned,P.man
-16.3,7.01,Unburned,P.man
-15.85,2.9,Burned,P.man
-15.57,5.73,Unburned,P.man
-15.48,7.43,Burned,P.man
-25.71,2.47,Burned,M.och
-22.63,3.56,Burned,P.leu
-22.43,3.6,Burned,P.leu
-15.28,6.67,Burned,P.man
-15.2,8.14,Unburned,P.man
-21.41,4.8,Unburned,P.leu
-15.18,5.36,Unburned,P.man
-15.18,5.96,Unburned,P.man
-14.67,6.21,Unburned,P.man
-14.54,6.43,Burned,P.man
-14.49,5.94,Unburned,P.man
-14.32,7.13,Burned,P.man
-14.16,6.6,Burned,P.man
-13.96,5.28,Unburned,P.man
-13.77,7.15,Burned,P.man
-21.04,6.01,Unburned,P.leu
-20.93,5.09,Burned,P.leu
-23.15,2.56,Burned,P.leu
-13.68,2.61,Unburned,P.man
-24.29,3.87,Unburned,P.leu
-13.5,8.87,Unburned,P.man
-13.21,6.03,Unburned,P.man
-13.14,5.83,Burned,P.man
-27.24,3.15,Unburned,M.och
-26.17,3.4,Burned,M.och
-12.91,7.1,Unburned,P.man
-22.98,3.86,Unburned,P.leu
-12.91,3.96,Unburned,P.man
-21.97,4.61,Unburned,P.leu
-27.23,3.33,Burned,M.och
-24.4,2.3,Burned,P.leu
-19.81,5.83,Burned,P.leu
-22.67,5.97,Unburned,P.leu
-23.32,3.83,Unburned,P.leu
-22.99,4.55,Burned,P.leu
-12.8,8.13,Burned,P.man
-12.77,2.18,Burned,P.man
-12.74,8.05,Unburned,P.man
-12.71,6.03,Unburned,P.man
-12.69,5.76,Burned,P.man
-22.25,4.93,Burned,P.leu
-12.68,8.53,Burned,P.man
-12.65,2.3,Burned,P.man
-16.02,8.19,Burned,P.leu
-12.62,6.41,Unburned,P.man
-12.56,6.24,Unburned,P.man
-24.74,3.52,Unburned,P.leu
-12.54,8.25,Burned,P.man
-12.32,7.28,Unburned,P.man
-11.89,7.9,Burned,P.man
-21.95,3.71,Unburned,M.och
-11.73,0.45,Unburned,P.man
-11.53,7.33,Unburned,P.man
-11.53,7.06,Unburned,P.man
-24.55,6.62,Unburned,P.leu
-24.29,5.55,Unburned,P.leu
-11.52,8.36,Unburned,P.man
-11.45,8.32,Burned,P.man
-11.24,5.78,Unburned,P.man
-11.24,8.21,Burned,P.man
-10.89,7.02,Unburned,P.man
-10.84,8.36,Burned,P.man
-10.52,9.18,Burned,P.man
-22.47,6.59,Unburned,P.leu
-10.52,7.72,Burned,P.man
-10.43,8.44,Burned,P.man
-10.4,8.95,Unburned,P.man
-10.38,6.89,Unburned,P.man
-10.15,8.83,Burned,P.man
-9.95,8.38,Burned,P.man
-9.93,5.5,Burned,P.man
-9.66,9.53,Unburned,P.man
-9.27,7.02,Unburned,P.man
-23.7,4.66,Burned,P.leu
-22.83,5.55,Burned,P.leu
-23.78,4.01,Burned,P.leu
-25.14,1.48,Burned,P.leu
-25.07,5.64,Burned,P.leu
-23.13,4.88,Unburned,P.leu
-19.55,4.73,Burned,P.leu
-25.09,2.11,Burned,P.leu
-16.72,2.12,Burned,P.leu
-25.89,1.9,Burned,P.leu
-24.43,3.7,Burned,P.leu
-23.79,4.03,Burned,P.leu
-24.13,5.31,Burned,P.leu
-24.86,1.43,Burned,P.leu
-24.9,2.29,Burned,P.leu
-25.66,1.64,Burned,P.leu
-22.68,5.41,Burned,P.leu
-14.24,1.09,Burned,P.leu
-25.74,4.69,Burned,M.och
-19.32,2.95,Burned,M.och
-23.66,3.88,Unburned,M.och
-23.94,2.86,Unburned,M.och
-26.47,2.46,Burned,M.och
-21.85,3.97,Unburned,M.och
-24.39,3.94,Burned,M.och
-25.96,2.67,Unburned,M.och
-24.89,3.61,Burned,M.och
-22.06,4.17,Unburned,M.och
-23.46,3.38,Unburned,M.och
-27.16,4.42,Unburned,M.och
-24.77,3.8,Unburned,M.och
-23.48,3.32,Unburned,M.och
-24.82,4.35,Unburned,M.och
-23.78,3.43,Unburned,M.och
-24.77,3.73,Unburned,M.och
-24.6,4.23,Unburned,M.och
-23.48,4.12,Unburned,M.och
-22.57,3.37,Unburned,M.och
